keap1_mutant,oof_probability
1.000000000000000000e+00,5.172195777926869020e-01
1.000000000000000000e+00,6.919367843443492427e-01
0.000000000000000000e+00,4.870700261593466363e-01
0.000000000000000000e+00,2.052615289018037414e-01
0.000000000000000000e+00,2.645286454321306713e-01
0.000000000000000000e+00,1.201717712143596517e-01
0.000000000000000000e+00,3.442647150467659234e-01
0.000000000000000000e+00,1.052189122640495578e-01
0.000000000000000000e+00,2.246431723564649707e-01
1.000000000000000000e+00,9.991564364163511014e-01
0.000000000000000000e+00,2.284949127626071386e-01
0.000000000000000000e+00,1.766838060649043585e-01
0.000000000000000000e+00,1.622460144881037181e-01
0.000000000000000000e+00,1.856017797939432945e-01
0.000000000000000000e+00,1.816536343657490782e-01
0.000000000000000000e+00,1.826133778210876912e-01
1.000000000000000000e+00,2.254648814729650619e-01
0.000000000000000000e+00,3.916711938712812979e-01
0.000000000000000000e+00,1.014470068946553977e-01
0.000000000000000000e+00,7.549028872590331229e-02
