keap1_mutant,oof_probability
0.000000000000000000e+00,4.451267562469299333e-02
0.000000000000000000e+00,3.806003231413611076e-01
0.000000000000000000e+00,2.125907201582573347e-01
0.000000000000000000e+00,2.153939683337697808e-01
0.000000000000000000e+00,1.922453492512730122e-01
0.000000000000000000e+00,2.581574328100500609e-02
0.000000000000000000e+00,1.959260166013563342e-01
0.000000000000000000e+00,1.755221187785473980e-01
0.000000000000000000e+00,1.701966385438072882e-01
0.000000000000000000e+00,7.707143897898771634e-02
0.000000000000000000e+00,1.013259519782203355e-01
1.000000000000000000e+00,4.186023190243562953e-01
0.000000000000000000e+00,1.744213019568218170e-01
0.000000000000000000e+00,1.813514910940122182e-01
1.000000000000000000e+00,3.561662335441641014e-01
1.000000000000000000e+00,3.480840059093573968e-01
0.000000000000000000e+00,1.818253636628796022e-01
0.000000000000000000e+00,1.793954841976938830e-01
0.000000000000000000e+00,1.748006029815102336e-01
0.000000000000000000e+00,9.175311987850715001e-01
0.000000000000000000e+00,1.803286196375752937e-01
1.000000000000000000e+00,3.983666111823235267e-01
0.000000000000000000e+00,1.770184048345659344e-01
1.000000000000000000e+00,7.253916565687762441e-01
0.000000000000000000e+00,2.969233965588762292e-01
0.000000000000000000e+00,2.442691255242327164e-01
0.000000000000000000e+00,1.745677662251595708e-01
0.000000000000000000e+00,1.827223226507731224e-01
0.000000000000000000e+00,1.800060841561312019e-01
0.000000000000000000e+00,1.804258732505375218e-01
0.000000000000000000e+00,2.023211604363093497e-01
0.000000000000000000e+00,2.297855128973765315e-01
0.000000000000000000e+00,1.763955394426998946e-01
0.000000000000000000e+00,1.833060936408151820e-01
1.000000000000000000e+00,2.020470457943141784e-01
0.000000000000000000e+00,1.769939697388719368e-01
0.000000000000000000e+00,2.309540808174552831e-02
0.000000000000000000e+00,1.685918028842720018e-01
0.000000000000000000e+00,2.106487260594065436e-01
0.000000000000000000e+00,4.474583303975859239e-01
0.000000000000000000e+00,6.045775090092189025e-02
0.000000000000000000e+00,1.832348519051330282e-01
0.000000000000000000e+00,1.871643466679437096e-01
0.000000000000000000e+00,2.503026533022591482e-01
0.000000000000000000e+00,1.754978600751042062e-01
0.000000000000000000e+00,1.839915788844243838e-01
0.000000000000000000e+00,5.114179957010082933e-02
0.000000000000000000e+00,2.075613846839734766e-01
1.000000000000000000e+00,1.191853176564689892e-01
0.000000000000000000e+00,1.936219173072517841e-01
0.000000000000000000e+00,1.767063103214036868e-01
0.000000000000000000e+00,1.778736631367427712e-01
0.000000000000000000e+00,1.785377843396376840e-01
0.000000000000000000e+00,3.175497817799815548e-01
0.000000000000000000e+00,2.037524796542915240e-01
0.000000000000000000e+00,1.815521155067617576e-01
0.000000000000000000e+00,5.157575508096686745e-01
1.000000000000000000e+00,4.257780413370994554e-01
1.000000000000000000e+00,9.405568122097103245e-01
0.000000000000000000e+00,1.750059184098453069e-01
0.000000000000000000e+00,3.733631403887391897e-01
0.000000000000000000e+00,1.783416584007732342e-01
0.000000000000000000e+00,1.899363353233097518e-01
0.000000000000000000e+00,4.710394115866288201e-01
1.000000000000000000e+00,2.588449807093932686e-01
0.000000000000000000e+00,1.856034625995076903e-01
0.000000000000000000e+00,3.729572690832238385e-02
0.000000000000000000e+00,1.227963010028140373e-01
0.000000000000000000e+00,2.319159583876273800e-01
0.000000000000000000e+00,1.751012777523265618e-01
0.000000000000000000e+00,1.855686331924331356e-01
0.000000000000000000e+00,1.747681459202866106e-01
0.000000000000000000e+00,2.154474245089089690e-01
0.000000000000000000e+00,1.246343492133986236e-01
0.000000000000000000e+00,1.779627698909144184e-01
1.000000000000000000e+00,2.619145620937425867e-01
1.000000000000000000e+00,2.470833167850927381e-01
1.000000000000000000e+00,9.680306734446574024e-02
0.000000000000000000e+00,1.757061195645417684e-01
0.000000000000000000e+00,1.848905693981934828e-01
1.000000000000000000e+00,1.990109483270038893e-01
0.000000000000000000e+00,1.850970348564951184e-01
0.000000000000000000e+00,2.016707283765453163e-01
0.000000000000000000e+00,1.808630045665806374e-01
0.000000000000000000e+00,1.844647640081910067e-01
0.000000000000000000e+00,1.776465975988054669e-01
0.000000000000000000e+00,1.948856268747816423e-01
0.000000000000000000e+00,1.832201268394101079e-01
0.000000000000000000e+00,1.974326265918371903e-01
